--------------+----------------------------------------------
 Host IP      | 127.0.1.1
 PyTorch      | 2.4.0a0+git4451b0e
 Torch-SDAA   | 2.0.0
--------------+----------------------------------------------
 SDAA Driver  | 2.2.0 (N/A)
 SDAA Runtime | 2.0.0 (/opt/tecoai/lib64/libsdaart.so)
 SDPTI        | 1.3.1 (/opt/tecoai/lib64/libsdpti.so)
 TecoDNN      | 2.0.0 (/opt/tecoai/lib64/libtecodnn.so)
 TecoBLAS     | 2.0.0 (/opt/tecoai/lib64/libtecoblas.so)
 CustomDNN    | 1.22.0 (/opt/tecoai/lib64/libtecodnn_ext.so)
 TecoRAND     | 1.8.0 (/opt/tecoai/lib64/libtecorand.so)
 TCCL         | 1.21.0 (/opt/tecoai/lib64/libtccl.so)
--------------+----------------------------------------------
train Pnet argument:
Namespace(annotation_file='/data/application/huangyun/dface/anno_store/imglist_anno_12.txt', model_store_path='/data/application/huangyun/dface/model_store', end_epoch=10, frequent=1, lr=0.01, batch_size=512, use_cuda=True, **{'': None})
append flipped images to imdb 1498328
2025-09-03 06:47:45.509695 : Epoch: 1, Step: 37, accuracy: 0.7657657861709595, det loss: 0.5395253300666809, bbox loss: 0.8584869503974915, all_loss: 0.968768835067749, lr:0.01 
2025-09-03 06:47:45.532834 : Epoch: 1, Step: 38, accuracy: 0.7852941155433655, det loss: 0.5756195187568665, bbox loss: 1.7547937631607056, all_loss: 1.4530164003372192, lr:0.01 
2025-09-03 06:47:45.554520 : Epoch: 1, Step: 39, accuracy: 0.7160883545875549, det loss: 0.5978355407714844, bbox loss: 1.0311001539230347, all_loss: 1.1133856773376465, lr:0.01 
2025-09-03 06:47:45.576362 : Epoch: 1, Step: 40, accuracy: 0.753894031047821, det loss: 0.5804709196090698, bbox loss: 0.902732789516449, all_loss: 1.0318373441696167, lr:0.01 
2025-09-03 06:47:45.598239 : Epoch: 1, Step: 41, accuracy: 0.7396825551986694, det loss: 0.5858608484268188, bbox loss: 0.6633960604667664, all_loss: 0.9175589084625244, lr:0.01 
2025-09-03 06:47:45.620223 : Epoch: 1, Step: 42, accuracy: 0.7865853309631348, det loss: 0.5064252018928528, bbox loss: 0.6096345782279968, all_loss: 0.8112424612045288, lr:0.01 
2025-09-03 06:47:45.642848 : Epoch: 1, Step: 43, accuracy: 0.7261538505554199, det loss: 0.5983986854553223, bbox loss: 0.6192927360534668, all_loss: 0.9080450534820557, lr:0.01 
2025-09-03 06:47:45.664618 : Epoch: 1, Step: 44, accuracy: 0.7692307829856873, det loss: 0.5681567192077637, bbox loss: 0.5661098957061768, all_loss: 0.851211667060852, lr:0.01 
2025-09-03 06:47:45.686429 : Epoch: 1, Step: 45, accuracy: 0.801857590675354, det loss: 0.5297706723213196, bbox loss: 0.45672091841697693, all_loss: 0.7581311464309692, lr:0.01 
2025-09-03 06:47:45.708066 : Epoch: 1, Step: 46, accuracy: 0.7616099119186401, det loss: 0.5424798727035522, bbox loss: 0.4905138909816742, all_loss: 0.7877368330955505, lr:0.01 
2025-09-03 06:47:45.729526 : Epoch: 1, Step: 47, accuracy: 0.8081395030021667, det loss: 0.5207482576370239, bbox loss: 0.616812527179718, all_loss: 0.8291544914245605, lr:0.01 
2025-09-03 06:47:45.751119 : Epoch: 1, Step: 48, accuracy: 0.8103975653648376, det loss: 0.5247434973716736, bbox loss: 0.4844803810119629, all_loss: 0.766983687877655, lr:0.01 
2025-09-03 06:47:45.773479 : Epoch: 1, Step: 49, accuracy: 0.792569637298584, det loss: 0.5442288517951965, bbox loss: 0.47115251421928406, all_loss: 0.7798051238059998, lr:0.01 
2025-09-03 06:47:45.795304 : Epoch: 1, Step: 50, accuracy: 0.8079267740249634, det loss: 0.5363984704017639, bbox loss: 0.47877374291419983, all_loss: 0.7757853269577026, lr:0.01 
2025-09-03 06:47:45.817045 : Epoch: 1, Step: 51, accuracy: 0.7917981147766113, det loss: 0.5606411099433899, bbox loss: 0.3650469481945038, all_loss: 0.743164598941803, lr:0.01 
2025-09-03 06:47:45.838695 : Epoch: 1, Step: 52, accuracy: 0.7757575511932373, det loss: 0.5496917963027954, bbox loss: 0.46489691734313965, all_loss: 0.7821402549743652, lr:0.01 
2025-09-03 06:47:45.860426 : Epoch: 1, Step: 53, accuracy: 0.7245509028434753, det loss: 0.5910934805870056, bbox loss: 0.3799661695957184, all_loss: 0.7810765504837036, lr:0.01 
2025-09-03 06:47:45.881976 : Epoch: 1, Step: 54, accuracy: 0.7951070666313171, det loss: 0.5361670851707458, bbox loss: 0.42926105856895447, all_loss: 0.7507976293563843, lr:0.01 
2025-09-03 06:47:45.904273 : Epoch: 1, Step: 55, accuracy: 0.7835365533828735, det loss: 0.5470563769340515, bbox loss: 0.44433489441871643, all_loss: 0.7692238092422485, lr:0.01 
2025-09-03 06:47:45.925882 : Epoch: 1, Step: 56, accuracy: 0.7692307829856873, det loss: 0.521115779876709, bbox loss: 0.40004590153694153, all_loss: 0.7211387157440186, lr:0.01 
2025-09-03 06:47:45.947541 : Epoch: 1, Step: 57, accuracy: 0.7926828861236572, det loss: 0.5449299812316895, bbox loss: 0.3928896188735962, all_loss: 0.7413747906684875, lr:0.01 
2025-09-03 06:47:45.969047 : Epoch: 1, Step: 58, accuracy: 0.8082596063613892, det loss: 0.49580806493759155, bbox loss: 0.427016943693161, all_loss: 0.7093165516853333, lr:0.01 
2025-09-03 06:47:45.990546 : Epoch: 1, Step: 59, accuracy: 0.7685459852218628, det loss: 0.553252100944519, bbox loss: 0.3415868282318115, all_loss: 0.7240455150604248, lr:0.01 
2025-09-03 06:47:46.012251 : Epoch: 1, Step: 60, accuracy: 0.7876105904579163, det loss: 0.5142149925231934, bbox loss: 0.3068511486053467, all_loss: 0.6676405668258667, lr:0.01 
2025-09-03 06:47:46.035515 : Epoch: 1, Step: 61, accuracy: 0.8292682766914368, det loss: 0.4811268746852875, bbox loss: 0.35323765873908997, all_loss: 0.6577457189559937, lr:0.01 
2025-09-03 06:47:46.057251 : Epoch: 1, Step: 62, accuracy: 0.8135048151016235, det loss: 0.5056127905845642, bbox loss: 0.31790226697921753, all_loss: 0.6645638942718506, lr:0.01 
2025-09-03 06:47:46.078860 : Epoch: 1, Step: 63, accuracy: 0.7484848499298096, det loss: 0.575807511806488, bbox loss: 0.34541136026382446, all_loss: 0.7485132217407227, lr:0.01 
2025-09-03 06:47:46.100777 : Epoch: 1, Step: 64, accuracy: 0.7396825551986694, det loss: 0.5952690243721008, bbox loss: 0.3175290524959564, all_loss: 0.7540335655212402, lr:0.01 
2025-09-03 06:47:46.123764 : Epoch: 1, Step: 65, accuracy: 0.8142414689064026, det loss: 0.5019117593765259, bbox loss: 0.3545096516609192, all_loss: 0.6791665554046631, lr:0.01 
2025-09-03 06:47:46.145488 : Epoch: 1, Step: 66, accuracy: 0.7911392450332642, det loss: 0.5111606121063232, bbox loss: 0.2738044857978821, all_loss: 0.6480628252029419, lr:0.01 
2025-09-03 06:47:46.167233 : Epoch: 1, Step: 67, accuracy: 0.7718120813369751, det loss: 0.5422610640525818, bbox loss: 0.26624518632888794, all_loss: 0.6753836870193481, lr:0.01 
2025-09-03 06:47:46.188980 : Epoch: 1, Step: 68, accuracy: 0.803680956363678, det loss: 0.5063073635101318, bbox loss: 0.2871042788028717, all_loss: 0.6498594880104065, lr:0.01 
2025-09-03 06:47:46.210644 : Epoch: 1, Step: 69, accuracy: 0.7785235047340393, det loss: 0.5460553765296936, bbox loss: 0.31043949723243713, all_loss: 0.701275110244751, lr:0.01 
2025-09-03 06:47:46.232573 : Epoch: 1, Step: 70, accuracy: 0.7917981147766113, det loss: 0.5426008105278015, bbox loss: 0.24706467986106873, all_loss: 0.6661331653594971, lr:0.01 
2025-09-03 06:47:46.254113 : Epoch: 1, Step: 71, accuracy: 0.7270029783248901, det loss: 0.6338446736335754, bbox loss: 0.26584526896476746, all_loss: 0.7667673230171204, lr:0.01 
2025-09-03 06:47:46.275982 : Epoch: 1, Step: 72, accuracy: 0.8035714626312256, det loss: 0.5102912783622742, bbox loss: 0.25034835934638977, all_loss: 0.6354654431343079, lr:0.01 
2025-09-03 06:47:46.297965 : Epoch: 1, Step: 73, accuracy: 0.8220858573913574, det loss: 0.48288315534591675, bbox loss: 0.25586867332458496, all_loss: 0.6108174920082092, lr:0.01 
2025-09-03 06:47:46.319626 : Epoch: 1, Step: 74, accuracy: 0.8036254048347473, det loss: 0.4931831359863281, bbox loss: 0.21289075911045074, all_loss: 0.5996285080909729, lr:0.01 
2025-09-03 06:47:46.341054 : Epoch: 1, Step: 75, accuracy: 0.7634730935096741, det loss: 0.5227488875389099, bbox loss: 0.22061721980571747, all_loss: 0.6330574750900269, lr:0.01 
2025-09-03 06:47:46.362706 : Epoch: 1, Step: 76, accuracy: 0.8092485666275024, det loss: 0.49810999631881714, bbox loss: 0.21790431439876556, all_loss: 0.6070621609687805, lr:0.01 
2025-09-03 06:47:46.384354 : Epoch: 1, Step: 77, accuracy: 0.7395209670066833, det loss: 0.5823178887367249, bbox loss: 0.21821564435958862, all_loss: 0.6914256811141968, lr:0.01 
2025-09-03 06:47:46.406132 : Epoch: 1, Step: 78, accuracy: 0.7894736528396606, det loss: 0.5191183090209961, bbox loss: 0.1986929476261139, all_loss: 0.6184647679328918, lr:0.01 
2025-09-03 06:47:46.427833 : Epoch: 1, Step: 79, accuracy: 0.790123462677002, det loss: 0.5255704522132874, bbox loss: 0.2149568796157837, all_loss: 0.6330488920211792, lr:0.01 
2025-09-03 06:47:46.449713 : Epoch: 1, Step: 80, accuracy: 0.8252427577972412, det loss: 0.47335103154182434, bbox loss: 0.22929565608501434, all_loss: 0.5879988670349121, lr:0.01 
2025-09-03 06:47:46.471587 : Epoch: 1, Step: 81, accuracy: 0.7470238208770752, det loss: 0.5814181566238403, bbox loss: 0.22090552747249603, all_loss: 0.691870927810669, lr:0.01 
2025-09-03 06:47:46.493373 : Epoch: 1, Step: 82, accuracy: 0.7754491567611694, det loss: 0.5214367508888245, bbox loss: 0.22486737370491028, all_loss: 0.6338704228401184, lr:0.01 
2025-09-03 06:47:46.515179 : Epoch: 1, Step: 83, accuracy: 0.7959184050559998, det loss: 0.5023471117019653, bbox loss: 0.20319707691669464, all_loss: 0.6039456725120544, lr:0.01 
2025-09-03 06:47:46.536902 : Epoch: 1, Step: 84, accuracy: 0.7842565774917603, det loss: 0.5359027981758118, bbox loss: 0.18754658102989197, all_loss: 0.629676103591919, lr:0.01 
2025-09-03 06:47:46.558522 : Epoch: 1, Step: 85, accuracy: 0.8096676468849182, det loss: 0.5017485618591309, bbox loss: 0.1794537454843521, all_loss: 0.5914754271507263, lr:0.01 
